Video ID,Comment,Published At
gRuHOK99lSk,이런 유명 프로 에서 환경 대해 많이 다뤄 줬으면 해 요 그래서 경 각심 을 일 깨워 주는것도 큰 도움 될거 같아요 우리 세대 뿐 아니라 우리 후손 에게 깨끗하고 살기 좋은 지구 물려줘야 돼요,2023-10-27T07:44:07Z
gRuHOK99lSk,관심 많이 가졌으면 좋겠어요 화이팅 합시다,2023-10-24T15:08:41Z
gRuHOK99lSk,그냥 후진국 보면 매연 존나 뿌리 더 만 해봤 자임 인도 보삼,2023-10-21T01:14:30Z
gRuHOK99lSk,강아지 벨 처럼 위성 띄운다면 그 눌러 준 신호 읽고 해석 하고지진 화산폭발 로 인류 없어지 기전 도움 을 요청 하면 또다른 우주 행성 데리 고가 살 게 해주지 않을까 싶네요,2023-10-19T15:48:51Z
gRuHOK99lSk,진짜 좋은 정보,2023-10-19T09:07:09Z
gRuHOK99lSk,알빠 야,2023-10-17T16:20:00Z
gRuHOK99lSk,너무 심각한데요 손수건 텀블러 이미 가지 고 있는것 할수있는 때 까지 사용 했으면 좋겠어요 교수 님 말씀 대로 유행 을 추구 하며 새로 구입 하는것은 그만큼 생산 과정 에서 온실가스 발생 하니 차라리 종이컵 쓰셔라 하시잖아요 이런 운동 다 같이 일어나야 미약 하게 나마 지 구 열탕 화 막는데 도움 되겠죠,2023-10-12T17:17:53Z
gRuHOK99lSk,영상 을 모든 사람 알아주셨으면 좋겠네요 제 자신 영상 보고 이제 부터 손수건 텀블러 사용 을 해야겠다는 생각 들었어요 그리고 사람 영상 을 보고 방법 대로 실천 해줬으면 좋을것 같은 마음 이에요,2023-10-09T05:37:16Z
gRuHOK99lSk,저희 사람 사람 이라도 지 구 열탕 화 늦추기 위해 노력 해요,2023-10-08T04:13:48Z
gRuHOK99lSk,그럼 우선 코로나 때 처럼 공장 셧다운 시켜 야함 이런 이야기 안 하면서 지구온난화 이야기 하기는 그렇다,2023-10-05T03:07:52Z
gRuHOK99lSk,인구 감소 축복,2023-10-04T23:31:53Z
gRuHOK99lSk,정말 귀한 영상 감사합니다 유 퀴즈 같은 국민 프로그램 이렇게 중대한 문제 대해 경 각심 을 주시 고 심각 성 을 인지 시켜주시니 너무 감사할 따름 입니다 앞 으로도 이런 주제 많이 다뤄주셨으면 좋겠습니다 비단 과학자 교수 등 학계 전문가 뿐 아니라 정치계 예술 계 경제 계 등 전문가 분들 모셔서 이야기 나누는 자리 있으면 좋겠습니다,2023-10-04T18:57:26Z
gRuHOK99lSk,하 기술 만 존나 게 발전 하지 사람 정신연령 수준 예나 지금 이나 미개한 원 시사회 네 왜 우리 발전 을 안 하냐 세기 전쟁 일어나는게 말 되냐 길가 버려진 담배 꽁초 쓰레기 태어나자마자 굶어 죽는 아이 아직도 있는건 대체,2023-10-04T17:28:52Z
gRuHOK99lSk,채식 온실가스 줄이는 가장 빠른 방법 입니다 채식 을 실천 합시다,2023-10-01T23:32:35Z
