Video ID,Comment,Published At
gRuHOK99lSk,이런 유명 프로에서 환경에 대해 많이 다뤄줬으면 해요. 그래서 경각심을 일깨워 주는것도  큰 도움이 될거 같아요. 우리 세대뿐 아니라 우리 후손들에게 깨끗하고 살기 좋은 지구를 물려줘야 돼요,2023-10-27T07:44:07Z
gRuHOK99lSk,관심 많이 가졌으면 좋겠어요 !! 화이팅합시다!!,2023-10-24T15:08:41Z
gRuHOK99lSk,그냥 후진국보면 매연 존나 뿌리더만 해봤자임 인도보삼 ㅋㅋ,2023-10-21T01:14:30Z
gRuHOK99lSk,"강아지벨처럼 위성  띄운다면 그들이 눌러준 신호를 읽고 해석하고,지진 화산폭발로 인류가 없어지기전 도움을 요청하면 또다른 우주 행성에 데리고가 살게 해주지 않을까?싶네요.",2023-10-19T15:48:51Z
gRuHOK99lSk,진짜좋은정보👍🏻,2023-10-19T09:07:09Z
gRuHOK99lSk,알빠야~~?? ㅋㅋㅋㅋㅋ,2023-10-17T16:20:00Z
gRuHOK99lSk,"너무 심각한데요. 손수건, 텀블러도 이미 가지고 있는것 할수있는때까지 잘 사용했으면 좋겠어요. 교수님 말씀대로  유행을 추구하며 새로구입하는것은 그만큼 생산과정에서 온실가스가 발생하니 차라리 종이컵 쓰셔라 하시잖아요. 이런 운동이 다같이 일어나야 미약하게 나마 지구열탕화를 막는데 도움이 되겠죠.",2023-10-12T17:17:53Z
gRuHOK99lSk,이 영상을 모든 사람들이 알아주셨으면 좋겠네요 .. 제 자신이 이 영상 보고 이제부터 손수건과 텀블러 사용을 해야겠다는 생각이 들었어요 ..!<br>그리고 사람들이 이 영상을 보고 이 방법대로 실천해줬으면 좋을것 같은 마음이에요 ..!,2023-10-09T05:37:16Z
gRuHOK99lSk,저희 한사람 한사람 이라도 지구열탕화를 늦추기위해 노력해요,2023-10-08T04:13:48Z
gRuHOK99lSk,그럼 우선 코로나때처럼 공장 셧다운시켜야함.<br>이런 이야기도 안하면서 지구온난화 이야기하기는 좀 그렇다.,2023-10-05T03:07:52Z
gRuHOK99lSk,인구 감소는 축복,2023-10-04T23:31:53Z
gRuHOK99lSk,"정말.. 귀한 영상 감사합니다. 유퀴즈같은 국민 프로그램이, 이렇게 중대한 문제에 대해 경각심을 주시고 심각성을 인지시켜주시니 너무 감사할따름입니다. 앞으로도 이런 주제 많이 다뤄주셨으면 좋겠습니다. 비단, 과학자, 교수 등의 학계 전문가 뿐 아니라, 정치계, 예술계, 경제계 등의 전문가분들도 모셔서 이야기 나누는 자리가 있으면 좋겠습니다.",2023-10-04T18:57:26Z
